note_id,title,content,images,type,nickname,liked_count,comment_count,share_count,craete_time,note_url,keyword,platform,comment
5223864972869663,,#中国骑行地图#  今天登山意外发现一条可以骑行的路线——紫金山醉美登山路线。一路上有很多骑自行车和电动车的，从白马公园入口可以直接骑车上到天文台俯瞰玄武湖，一路风景很好，还遇到了在野泳的人骑行南京 ,,normal,Lucky幸运8雷,73,33,0.0,1760978726,https://m.weibo.cn/detail/5223864972869663,南京骑行路线,wb,"['风景好人又少', '姐妹真厉害', '你们那里冷不，我看还有人在游泳啊', '好安静的一条骑行路线啊', '太累了我爬不了', '', '今日份贴贴，风景好美', '我也喜欢爬山', '周末去这样的地方走走很舒服', '我也很喜欢户外，就是最近的天气很不给力', '很原生态很美的风景', '好地方', '互关来了', '景色很美呢', '太勇了，这么冷的天游泳', '游野泳不会很危险吗', '我一个姐妹每周都去爬紫金山', '逛逛逛逛 坐会', '好适合户外治愈！', '这个天游泳有点冷啊', '风景好 人也少', '好美啊 今年暑假带娃去的南京 热是真热喜欢也是真喜欢', '互相旺', '南京真的是骑行很舒服的城市！', '早上好呀姐妹', '互起来', '我也开始徒步了，每周一山', '喜欢户外，喜欢去公园爬山', '风景很舒服！']"
5213995050470712,,#中国骑行地图#我的骑行路线都是固定同一条路，这条路太美了，永远骑不厌。 ,,normal,Verylucky-66仔,10,19,0.0,1758625554,https://m.weibo.cn/detail/5213995050470712,南京骑行路线,wb,"['偶遇呀姐妹', '江边路线看着就不错', '江景', '贴贴', '赞', '我也想去湖边骑', '骑行真的会上瘾', '好的风景看不厌', '哇，风景独好', '这个话题第几天打卡了呀', '厉害', '棒棒的', '自律的姐妹，贴贴', '好厉害', '景色肯定好', '沿着长江骑！好厉害', '好厉害', '看着风景就很好']"
5193765429971633,,#骑行#南京7大骑行路线实测！新手VS高手全攻略🚴♀️南京7大骑行路线实测！新手VS高手全攻略🔥📍1. 滨江湿地公园（新手必冲！）✅ 路线：7号岗→1号岗（5km，无坡）✅ 优点：江风+日落绝美！全程平路，适合散步级骑行，遛娃遛狗都🉑️❌ 缺点：短途党可能不过瘾📍2. 江心洲大堤（专 ...全文,,normal,妮说体育,5,129,0.0,1753802437,https://m.weibo.cn/detail/5193765429971633,南京骑行路线,wb,
5189906461627080,,#骑行##微博骑遇记# 早晨5点多20几公里环陵骑行路线是美的🚲美术生对于曲线呈现的美感有种迷恋，叠加的郁郁葱葱更赋予它的生命力，骑的不是车，是融入其中的景。💕感谢友善的南京骑友，路不熟，起点都没找对，跟着晨练的南京骑友顺利完成✅环陵路线。⭐️早晨因为路不熟时间折腾了一下，还好车 ...全文,,normal,文学书单君,3,122,0.0,1752882387,https://m.weibo.cn/detail/5189906461627080,南京骑行路线,wb,"['今天也要加油呀', '这条微博实在是太精彩了', '感谢分享又学到了', '哇很不错啊', '周六愉快，内容很精彩', '谢谢分享呀', '晚上好呀', '感谢分享', '下午好呀', '博主分享的内容很精彩。', '下午好啊下午好呀', '已经点赞了', '谢谢分享', '嗨下午好呀，我来了', '写的很好啊', '下午好啊', '感谢分享', '感谢分享', '说得真好', '思路打开了', '谢谢分享', '中午好呀', '感谢分享太喜欢了', '保藏博主 收藏起来', '好喜欢看你的微博', '中午好哇😁', '感谢分享，写的太好了', '早上好呀', '感谢分享', '感谢分享，周六快乐🙂', '内容很好，很精彩', '感谢分享内容', '谢谢博主分享内容', '上午好呀', '谢谢分享内容！', '好巧啊，刷到你了', '愿你开心快乐每一天', '来看你啦', '大脑已扩容！', '早上好呀']"
5192044855430549,,#骑行# ｜#自行车# 🚴♂️南京汤山骑行，在温泉与山野间撒野被南京汤山这条骑行路线惊艳到了！全程39.5公里，一路从田园风光骑进地质奇观，终点还能泡温泉解乏，简直是为骑行爱好者量身打造的宝藏路线～📍具体路线：龙尚湖→龙尚湾露营地→矿坑公园→金乌温泉公园→汤山古猿人洞→汤北户外→ ...全文,,normal,可可壳壳hu,2,117,0.0,1753392220,https://m.weibo.cn/detail/5192044855430549,南京骑行路线,wb,
5191580019067766,,#骑行##微博骑遇记#在南京 |景美人少的两条绿色骑行路线南京适合骑行、跑步的路线有很多，河西滨江绿道和江心洲环岛智慧赛道，是其中最有代表性的两个地方🌈江心洲环岛智慧赛道这条路线全程约22公里左右，一路风景美不胜收，尤其是环岛西路这边的江堤路，不但有小垦丁灯塔，还有绚烂美丽的花海， ...全文,,normal,只锦集不懂球,1,111,1.0,1753281394,https://m.weibo.cn/detail/5191580019067766,南京骑行路线,wb,
5211876616573776,,人们对骑行的热爱从未褪色，并在新时代焕发出了新的光彩。南京可谓是骑行爱好者的天堂，历史与现代在此交融，平坦的道路更为骑行增添了惬意。沿着江边骑行，江风拂面，清爽宜人，途经渡江胜利纪念馆时，江边大道平整开阔，波光粼粼的江水在阳光下闪烁着金色光芒，构成了一幅美丽的画卷。向 ...全文,,normal,博物南京,1,0,2.0,1758120480,https://m.weibo.cn/detail/5211876616573776,南京骑行路线,wb,
5169990853460823,,后悔才知道!！南京这条宝藏自驾骑行路线南京的这条“最美17公里”乡村道路，串联了江宁的众多美景北起谷里大塘金，穿过银杏湖大道，一直往南延伸到，朱门人家附近连绵起伏的青山、碧波荡漾的湖水、万亩竹海、茶田村落一路山水相依，真不愧是徒步、骑行、自驾游经典线路！！推荐路线：谷里大塘金 ...全文,,normal,体说_,2,149,0.0,1748134136,https://m.weibo.cn/detail/5169990853460823,南京骑行路线,wb,
5167073984252137,,南京 江心洲15公里环岛骑行路线新手 友好 周末想要逃离城市的喧器，却又不想出南京 推荐春天一定要来江心洲环岛骑行，解锁城市中 的自然秘境。这条骑行路线全长15公里，沿途风 景超美，江风拂面，新手也能轻松拿下 【骑行注意事项】 记得佩戴头盔，保持中低速骑行，遵守交通规 则。 江边风大， ...全文,,normal,体说_,4,200,0.0,1747438700,https://m.weibo.cn/detail/5167073984252137,南京骑行路线,wb,
5173240168454639,,🚴♀南京骑行地图｜6条神仙路线承包整个夏天！周末别宅家啦！#微博兴趣创作计划# 收好这份私藏骑行攻略追风/看海/探秘的快乐一次解锁！·🌅「江心洲环岛追日落，闯入橘子味的春天！」📍路线：环江堤路骑行🛣22KM漫游丨⏰3h漫画感灯塔/粉色花海/橘子味晚风✨下午四点出发刚好！江水裹着 ...全文,,normal,甜味幻想小猫,1,111,0.0,1748908833,https://m.weibo.cn/detail/5173240168454639,南京骑行路线,wb,
